Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-05-22,26-092,DEN,,POR,L (-14),1,35:22,14,27,0.519,3,7,0.429,3,4,0.75,3,13,16,1,0,0,1,1,34,25.6,-13
2,2,2021-05-24,26-094,DEN,,POR,W (+19),1,31:18,15,20,0.75,2,4,0.5,6,6,1,3,5,8,5,1,0,4,5,38,32.1,12
3,3,2021-05-27,26-097,DEN,@,POR,W (+5),1,35:29,12,24,0.5,4,7,0.571,8,8,1,6,5,11,5,0,0,2,3,36,30,10
4,4,2021-05-29,26-099,DEN,@,POR,L (-20),1,26:41,7,18,0.389,1,4,0.25,1,2,0.5,3,6,9,1,0,0,2,3,16,7.2,-32
5,5,2021-06-01,26-102,DEN,,POR,W (+7),1,46:19,14,31,0.452,3,9,0.333,7,8,0.875,3,8,11,9,1,4,2,1,38,33.7,-2
6,6,2021-06-03,26-104,DEN,@,POR,W (+11),1,36:14,13,22,0.591,2,4,0.5,8,8,1,1,7,8,6,1,0,5,3,36,27.6,15
7,7,2021-06-07,26-108,DEN,@,PHO,L (-17),1,36:25,10,23,0.435,2,5,0.4,0,0,,2,7,9,3,2,3,4,2,22,14.8,-13
8,8,2021-06-09,26-110,DEN,@,PHO,L (-25),1,29:34,9,17,0.529,1,3,0.333,5,6,0.833,4,9,13,6,1,0,2,1,24,23.6,-14
9,9,2021-06-11,26-112,DEN,,PHO,L (-14),1,39:47,13,29,0.448,1,6,0.167,5,9,0.556,10,10,20,10,0,1,2,2,32,30.2,-10
10,10,2021-06-13,26-114,DEN,,PHO,L (-7),1,28:17,9,17,0.529,1,4,0.25,3,4,0.75,2,9,11,4,0,1,0,2,22,20.1,-10
